contrast,odds.ratio,SE,df,null,t.ratio,p.value
chew_herbivory ACA_ROB / chew_herbivory EUC_RAC,0.5943501974629933,0.15636309712840357,364,1,-1.9776560739651985,0.7806947861123352
chew_herbivory EUC_RAC / chew_herbivory KRA_FLO,0.6795692295835047,0.13818189395963246,364,1,-1.8997784831747455,0.8255772144982038
sap_miner_herbivory SID_INE / sap_miner_herbivory SPI_AFR,1.8474098983800231,0.598628117631025,364,1,1.8941839148031752,0.8285984175920637
sap_miner_herbivory SID_INE / chew_herbivory SPI_AFR,1.8447841806903216,0.6089870511521096,364,1,1.855008695661397,0.8489472400202106
chew_herbivory ACA_ROB / sap_miner_herbivory SID_INE,0.5820998066080607,0.18491073904997368,364,1,-1.7034271889440782,0.9137789536571135
chew_herbivory SCU_MYR / chew_herbivory SID_INE,0.7114421803612976,0.15450380433502256,364,1,-1.5677180838002467,0.9532406451368631
chew_herbivory KRA_FLO / sap_miner_herbivory SID_INE,1.4411903237433867,0.3906098101692285,364,1,1.3484324478978449,0.986709522021166
chew_herbivory KRA_FLO / chew_herbivory SCU_MYR,0.7760611108179488,0.16278966975994735,364,1,-1.2086155452367462,0.9951910766834933
chew_herbivory ACA_ROB / sap_miner_herbivory GYM_HAR,1.3114706058530854,0.3546314010350161,364,1,1.0027428005390637,0.9992765658329534
chew_herbivory GYM_HAR / chew_herbivory SID_INE,0.8366893589090548,0.16315975882587513,364,1,-0.9143414606389957,0.9997329644295103
chew_herbivory GYM_HAR / chew_herbivory SCU_MYR,1.1760468833660551,0.21170773128408585,364,1,0.9007996581208249,0.9997734239665395
chew_herbivory ACA_ROB / sap_miner_herbivory EUC_RAC,1.2218526997503711,0.33481606242514095,364,1,0.7312091380317481,0.9999788984098212
sap_miner_herbivory GYM_HAR / chew_herbivory SPI_AFR,0.8188124918857247,0.233322970477021,364,1,-0.7015201081773476,0.9999870248955256
sap_miner_herbivory GYM_HAR / sap_miner_herbivory SPI_AFR,0.8199779238462744,0.2320410587101994,364,1,-0.7013735650117416,0.9999870567957976
sap_miner_herbivory GYM_HAR / sap_miner_herbivory SCU_MYR,0.8633010819613545,0.1983676386301156,364,1,-0.6397119779737356,0.9999956643278259
chew_herbivory ACA_ROB / sap_miner_herbivory KRA_FLO,1.1856172834033651,0.3410083277713313,364,1,0.5919720868810774,0.9999982977526297
sap_miner_herbivory EUC_RAC / sap_miner_herbivory SPI_AFR,0.8801199561882801,0.2498201319824336,364,1,-0.44987862297994924,0.999999942171774
sap_miner_herbivory EUC_RAC / chew_herbivory SPI_AFR,0.8788690445524545,0.25228889624468326,364,1,-0.44979792280674014,0.9999999423011898
sap_miner_herbivory GYM_HAR / sap_miner_herbivory KRA_FLO,0.904036490114199,0.2081719103685327,364,1,-0.4381197357102792,0.9999999584722246
chew_herbivory ACA_ROB / sap_miner_herbivory SCU_MYR,1.1321939929934814,0.32400703619583776,364,1,0.4338491928721315,0.9999999632648762
sap_miner_herbivory EUC_RAC / sap_miner_herbivory GYM_HAR,1.0733459165094315,0.22837048953840566,364,1,0.3326711636711019,0.9999999987159603
sap_miner_herbivory KRA_FLO / chew_herbivory SPI_AFR,0.9057294709224529,0.27221227948453136,364,1,-0.32945043770806964,0.9999999988654413
sap_miner_herbivory EUC_RAC / sap_miner_herbivory SCU_MYR,0.9266206910413937,0.21506146701664994,364,1,-0.3283650409016964,0.9999999989120969
sap_miner_herbivory KRA_FLO / sap_miner_herbivory SPI_AFR,0.9070186135326174,0.270239714578795,364,1,-0.3275537761586982,0.9999999989458257
chew_herbivory ACA_ROB / sap_miner_herbivory SPI_AFR,1.0753769445728285,0.3569691135203973,364,1,0.21892365409563314,0.9999999999940141
chew_herbivory ACA_ROB / chew_herbivory SPI_AFR,1.0738485148134458,0.35638869485075897,364,1,0.2146829230919198,0.9999999999953668
sap_miner_herbivory KRA_FLO / sap_miner_herbivory SCU_MYR,0.9549405266288546,0.23741182837838112,364,1,-0.1854528255839881,0.9999999999994531
sap_miner_herbivory EUC_RAC / sap_miner_herbivory KRA_FLO,0.9703438750395943,0.22361266937211086,364,1,-0.1306364684852128,1
chew_herbivory EUC_RAC / sap_miner_herbivory SID_INE,0.9793885979894952,0.2553814780152149,364,1,-0.0798707588507685,1
sap_miner_herbivory SCU_MYR / sap_miner_herbivory SPI_AFR,0.9498168610924788,0.285133267734297,364,1,-0.17150702025298145,1
sap_miner_herbivory SCU_MYR / chew_herbivory SPI_AFR,0.948466889472031,0.28215435404841716,364,1,-0.1778525245248657,1
sap_miner_herbivory SPI_AFR / chew_herbivory SPI_AFR,0.9985787032471765,0.3198460902381673,364,1,-0.004440530227124465,1
